id,value
0_Computer Science.1_Algorithm.2_Subject reduction,209
0_Computer Science.1_Algorithm.2_Atbash,12
0_Computer Science.1_Algorithm.2_Dutch national flag problem,8
0_Computer Science.1_Algorithm.2_Formal proof,1884
0_Computer Science.1_Algorithm.2_Primality test,1050
0_Computer Science.1_Algorithm.2_Lambda calculus,2686
0_Computer Science.1_Algorithm.2_River crossing puzzle,2
0_Computer Science.1_Algorithm.2_Node graph architecture,2
0_Computer Science.1_Algorithm.2_Fermat pseudoprime,5
0_Computer Science.1_Algorithm.2_Primitive recursive arithmetic,464
0_Computer Science.1_Algorithm.2_System F,1515
0_Computer Science.1_Algorithm.2_Curta,684
0_Computer Science.1_Algorithm.2_Finite-state machine,26726
0_Computer Science.1_Algorithm.2_Von Neumann cellular automaton,3
0_Computer Science.1_Algorithm.2_GADDAG,5
0_Computer Science.1_Algorithm.2_Creative and productive sets,1
0_Computer Science.1_Algorithm.2_Ages of Three Children puzzle,3
0_Computer Science.1_Algorithm.2_Pivot element,1256
0_Computer Science.1_Algorithm.2_T-schema,27
0_Computer Science.1_Algorithm.2_Hybrid algorithm,9107
0_Computer Science.1_Algorithm.2_Type inference,1847
0_Computer Science.1_Algorithm.2_ALGOL 68,435
0_Computer Science.1_Algorithm.2_Kirkpatrick–Seidel algorithm,2
0_Computer Science.1_Algorithm.2_NIST SP 800-90A,3
0_Computer Science.1_Algorithm.2_Blum axioms,3
0_Computer Science.1_Algorithm.2_Type theory,3840
0_Computer Science.1_Algorithm.2_Turmite,7
0_Computer Science.1_Algorithm.2_Motion estimation,36690
0_Computer Science.1_Algorithm.2_Intuitionistic logic,2580
0_Computer Science.1_Algorithm.2_Out-of-core algorithm,864
0_Computer Science.1_Algorithm.2_Brute-force search,6444
0_Computer Science.1_Algorithm.2_Description logic,8998
0_Computer Science.1_Algorithm.2_Linear programming,52837
0_Computer Science.1_Algorithm.2_Unicode collation algorithm,6
0_Computer Science.1_Algorithm.2_Tabula recta,6
0_Computer Science.1_Algorithm.2_Arborescent,603
0_Computer Science.1_Algorithm.2_Euler pseudoprime,4
0_Computer Science.1_Algorithm.2_History of computing,868
0_Computer Science.1_Algorithm.2_Admissible numbering,4
0_Computer Science.1_Algorithm.2_Kleene–Rosser paradox,3
0_Computer Science.1_Algorithm.2_Context-free language,2141
0_Computer Science.1_Algorithm.2_2–3 heap,1
0_Computer Science.1_Algorithm.2_Post–Turing machine,2
0_Computer Science.1_Algorithm.2_Sequent,1814
0_Computer Science.1_Algorithm.2_Dynamic logic (modal logic),10984
0_Computer Science.1_Algorithm.2_Password Hashing Competition,14
0_Computer Science.1_Algorithm.2_Adaptive heap sort,2
0_Computer Science.1_Algorithm.2_Propositional directed acyclic graph,2
0_Computer Science.1_Algorithm.2_Fiat–Shamir heuristic,4
0_Computer Science.1_Algorithm.2_Simple precedence grammar,3
0_Computer Science.1_Algorithm.2_Integer programming,36047
0_Computer Science.1_Algorithm.2_Rose tree,51
0_Computer Science.1_Algorithm.2_Table of congruences,5
0_Computer Science.1_Algorithm.2_Edge of chaos,756
0_Computer Science.1_Algorithm.2_Shakashaka,5
0_Computer Science.1_Algorithm.2_Reverse Polish notation,156
